#{"t_start": 1775204662.012896, "env_id": "None"}
r,l,t
13.996816,240,231.483921
1.566069,28,232.018663
3.036542,46,232.557766
3.572856,34,233.088106
13.996816,240,233.685806
3.741741,45,234.226028
13.996816,240,235.333713
14.804182,240,235.971411
13.996816,240,236.57263
1.59006,29,237.106322
3.900791,45,237.645061
2.281061,33,238.174936
3.211628,39,238.710791
1.640653,29,239.241209
13.996816,240,239.841638
3.791779,30,240.375932
13.996816,240,240.973106
4.500284,65,241.521066
1.626611,29,242.059736
1.992976,33,242.595038
13.996816,240,243.193693
13.996816,240,243.794853
2.767162,30,244.328973
3.5437,32,244.863045
4.134047,58,245.89294
4.469982,72,246.445519
3.503575,42,247.00141
13.996816,240,247.597639
13.996816,240,248.195015
1.741832,32,248.732728
4.322107,52,249.272575
13.996816,240,249.86561
1.973073,34,250.401815
1.923755,34,250.935127
1.695803,31,251.468022
2.869885,48,252.006577
4.069543,50,252.541667
3.771552,45,253.073391
13.996816,240,253.668435
1.751149,31,254.203829
4.056493,50,254.743163
1.825532,32,255.270855
1.550193,29,255.804064
2.495871,43,256.342225
1.700262,33,256.873038
13.996816,240,257.470666
1.669062,30,258.006169
3.85029,45,275.535768
13.996816,240,276.687511
13.996816,240,277.650984
1.974661,35,278.227964
2.533294,44,278.759825
2.850976,28,279.288572
2.82015,31,279.823252
1.591616,28,280.356203
3.257253,39,280.893277
1.901454,32,281.424859
1.470574,26,281.956785
1.819613,33,282.492881
13.996816,240,283.08787
1.841682,32,283.626636
2.982883,34,284.16134
13.996816,240,284.75631
6.236724,108,285.317661
2.365426,39,285.863607
13.996816,240,286.457264
1.546893,29,286.994654
13.996816,240,287.591207
3.376149,38,288.132235
4.12178,51,288.672763
4.046615,59,289.757679
4.556103,59,290.307793
2.812048,31,290.865471
2.789857,47,291.404113
13.996816,240,291.998112
1.565124,30,292.532859
2.144705,34,293.06769
13.996816,240,293.665725
2.676547,28,294.200531
1.472136,26,294.733021
13.996816,240,295.333188
2.209656,33,295.869382
1.902733,34,296.403334
4.763345,59,296.944664
2.799702,31,297.487387
13.996816,240,298.082615
3.178509,30,298.620876
13.996816,240,299.199439
3.285789,36,299.740294
3.613851,49,300.278088
3.341837,39,300.809223
3.722821,44,301.344159
13.996816,240,302.451694
3.818391,47,302.997636
2.694369,31,303.576123
2.740345,39,304.11215
4.246814,56,304.650291
1.210509,27,305.191846
13.996816,240,305.791675
4.135939,51,306.333505
13.996816,240,306.939179
4.151057,53,307.484975
1.527156,32,308.028526
2.582926,28,308.561188
13.996816,240,309.454839
2.528716,43,310.000351
5.164901,67,310.541439
1.429035,25,311.078902
4.8756,93,311.634171
3.616706,43,312.168833
1.532814,30,312.698618
3.648696,43,313.236205
3.439225,28,313.765266
3.739712,43,314.304071
2.427653,55,314.841402
13.996816,240,315.449682
1.263533,29,316.035406
2.555356,43,316.572485
3.100951,48,317.141275
3.780991,69,317.681749
3.953377,50,318.779505
4.166999,31,319.355281
3.964631,47,319.893923
1.820567,30,320.455513
13.996816,240,321.090149
1.542203,30,321.623259
13.996816,240,322.25572
2.354266,37,322.792341
13.996816,240,323.439687
3.637354,30,323.974817
13.996816,240,324.607934
2.518383,33,325.142829
1.993503,33,325.709839
13.996816,240,345.138677
13.996816,240,345.797257
2.093945,34,346.332941
1.713701,31,346.88308
4.47825,60,347.425937
6.008428,87,348.318383
1.742585,31,348.852132
13.778129,240,350.036528
1.812491,33,350.604687
1.785994,33,351.137091
3.697706,46,351.709356
1.758203,36,352.238737
4.573297,62,352.780784
2.968076,27,353.353609
13.996816,240,357.477951
1.491549,27,358.007984
4.088445,59,358.58488
13.996816,240,359.188672
13.996816,240,359.827045
13.996816,240,360.458506
1.460552,27,360.992681
3.85759,49,361.534631
3.519624,32,362.11174
3.987492,71,362.692082
13.996816,240,363.291662
15.071762,240,364.693526
3.357506,35,365.215342
13.996816,240,365.849849
7.471506,36,366.383042
4.136937,52,366.955195
13.996816,240,367.56152
4.016858,55,368.123969
13.996816,240,368.712925
13.996816,240,369.349895
1.434214,27,369.88363
3.820177,49,370.457352
3.272875,29,371.051261
13.996816,240,371.63425
3.783604,46,372.208464
13.996816,240,372.801528
3.592991,32,373.338157
13.996816,240,374.476978
2.37457,28,375.004542
4.749872,79,375.587279
13.996816,240,376.189761
1.789417,34,376.759169
3.209207,38,377.292501
4.189972,48,377.862467
1.505814,26,378.389305
3.320375,32,378.958247
13.996816,240,379.589288
13.996816,240,380.187746
2.621803,42,380.729354
4.395923,56,381.284474
2.576092,37,381.857731
2.39835,30,382.393942
13.996816,240,383.023887
2.176272,40,383.564422
13.996816,240,384.210204
3.587315,44,384.750142
6.86177,118,385.340022
4.463485,30,385.913574
1.752186,33,386.448776
4.018517,50,387.02055
13.996816,240,388.15198
3.233317,34,388.683836
2.4277,39,389.252282
1.577669,30,389.783032
13.996816,240,390.381316
1.470035,28,390.916351
13.996816,240,391.512562
0.977554,27,392.050781
1.386243,24,392.933242
3.061622,34,393.469789
2.298791,35,394.003831
13.996816,240,394.601027
1.395787,27,395.135375
2.571793,41,395.673212
4.985491,75,396.218194
3.929034,28,396.831167
1.785565,31,397.405997
4.149512,51,397.946199
3.428868,42,398.526472
13.996816,240,399.121641
2.989625,34,399.658272
1.174336,25,400.222632
1.759551,33,400.759843
1.478493,26,401.307164
3.014328,48,401.848195
2.56175,44,402.381357
1.547583,28,402.947107
1.378154,32,403.477757
3.005698,53,404.050863
4.380509,56,405.111158
4.061615,48,405.692274
13.996816,240,406.277544
2.830121,51,406.81877
1.823485,32,407.346523
3.195531,28,407.912411
3.612451,32,408.44797
2.876252,33,409.015316
0.981643,18,409.544856
1.578899,30,410.081704
13.996816,240,410.714496
4.454392,57,411.258153
13.996816,240,411.898434
1.605373,31,412.433766
3.806847,44,412.971415
4.151788,48,413.506164
1.457084,28,414.033706
3.914082,46,414.573019
4.32505,55,415.109797
4.020393,56,415.660499
2.415203,30,416.202592
3.40084,43,422.938883
13.996816,240,423.491952
2.111478,35,424.061432
2.567985,40,424.596556
3.233922,48,425.132332
1.937039,32,425.660725
3.156489,35,426.19528
13.996816,240,427.282681
13.996816,240,427.880232
1.302066,27,428.411454
3.468899,43,428.95004
1.867904,34,429.480896
2.022147,34,430.01457
1.780942,29,430.547186
2.598115,30,431.080882
13.996816,240,431.678704
2.116231,38,432.217514
1.574914,29,432.749289
3.557595,35,433.286813
3.830559,44,433.854993
3.820051,43,434.388059
3.399786,30,434.950604
1.781788,32,435.485449
2.257416,37,436.020514
2.304242,39,436.555206
1.64888,28,437.118655
3.633563,30,437.652958
1.667271,31,438.18676
3.105142,48,438.725478
1.995021,33,439.290614
1.458018,34,439.823196
2.012942,39,440.391947
2.431078,38,440.924761
13.996816,240,441.552161
3.813676,44,442.094273
2.903315,33,442.658138
3.659418,44,443.194989
2.810612,31,445.001854
13.996816,240,445.607328
3.751466,45,446.181267
3.398453,27,447.197933
1.594223,29,447.72805
2.342684,36,448.296784
13.996816,240,448.927031
2.702625,29,449.461734
2.215225,37,449.980619
1.604459,30,450.512599
2.579574,34,451.04786
1.57292,31,451.580334
1.845972,36,452.11637
1.974055,32,452.648291
3.242039,42,453.185388
1.767005,32,453.715637
13.996816,240,454.314319
1.692754,32,454.833194
2.812981,33,455.367996
1.94366,33,455.901188
1.463,26,456.43237
2.489946,41,456.97072
3.242936,51,457.507627
2.007674,32,458.070207
2.538426,39,458.604924
13.996816,240,459.201422
13.996816,240,459.799454
13.996816,240,460.402596
1.910093,37,460.939599
1.431888,33,461.472342
2.100654,36,462.006503
13.996816,240,463.09493
1.64157,30,463.623824
1.662224,29,464.189926
2.600017,41,464.726779
13.996816,240,465.322897
13.996816,240,465.923358
1.441008,28,466.457516
3.086349,36,466.993739
4.227397,80,467.541191
13.996816,240,468.139718
1.806987,32,468.67728
1.627702,28,469.20978
1.732312,31,469.744473
4.102876,62,470.287448
13.996816,240,470.893031
13.996816,240,471.497839
2.249665,33,472.030321
3.375205,33,472.563814
4.884845,77,473.111849
3.507547,28,473.646631
4.093729,53,474.188217
2.833202,32,474.731983
1.706108,33,475.851347
1.551673,28,476.415599
3.370966,40,476.952558
4.805148,74,477.496988
1.553022,29,478.033811
3.369267,45,478.571995
3.490417,42,479.104867
8.963168,142,479.668151
1.424932,27,480.200956
3.040987,60,480.744697
13.996816,240,490.742272
3.532615,47,491.316699
1.385691,32,491.845262
13.996816,240,492.444098
2.719187,29,492.978948
2.310339,37,493.514645
2.714668,29,494.045897
3.046277,28,494.579488
1.582641,30,495.113837
13.996816,240,495.710379
2.085929,35,496.250046
4.372426,51,496.788601
1.591282,29,497.315058
1.466105,29,497.848904
3.310621,24,498.381756
1.453756,27,498.915508
1.857184,33,499.451297
1.407416,28,499.983434
13.996816,240,500.580045
3.666091,39,501.121204
1.655428,29,501.651862
3.555699,45,502.696222
3.0918,36,503.240136
1.636189,31,503.804363
4.056074,29,504.33735
4.516664,63,504.881649
2.83088,50,505.428016
3.994354,51,505.961975
1.82011,32,506.48996
3.582875,29,507.022626
1.745648,32,507.557223
2.805239,45,508.095283
1.510218,27,508.623283
1.577728,30,509.157899
3.639809,35,509.697384
1.979801,32,510.226094
13.996816,240,510.825312
2.752325,43,511.363703
2.723964,32,511.894174
3.896751,48,512.432903
2.962916,33,512.961734
2.232942,34,513.495925
13.996816,240,514.093573
1.668173,30,514.633619
1.731217,33,515.163557
2.121908,36,515.6983
4.108118,51,516.236765
4.075003,47,516.769093
3.163484,37,517.299702
3.98753,64,517.842091
1.535331,31,518.43204
2.785342,41,518.969321
1.461573,29,519.498757
13.996816,240,520.098339
2.985904,34,520.634707
1.778515,35,521.168778
13.996816,240,522.255498
13.996816,240,522.851185
1.834267,37,523.38878
1.65508,30,523.919906
13.996816,240,524.518344
2.821831,34,525.054896
4.097849,47,525.592413
3.431333,30,526.120689
4.588592,69,526.666702
1.874913,32,527.205839
13.996816,240,527.800362
3.002027,39,528.342861
4.235337,79,528.888716
13.996816,240,529.471734
1.480941,29,530.007406
1.499684,28,531.782304
2.605666,28,532.308514
13.996816,240,532.908687
5.185499,76,533.458116
13.996816,240,534.559215
1.785768,29,535.099298
3.507727,42,535.665639
13.996816,240,536.25986
1.654056,39,536.798932
3.278274,52,537.336699
4.116991,51,537.869977
1.889422,33,538.398717
4.514054,56,538.939008
13.996816,240,539.545512
3.146919,37,540.084077
13.996816,240,540.679603
13.996816,240,541.280189
3.733218,55,541.824179
3.982925,61,542.376978
1.708414,30,542.917508
3.094136,33,543.452138
4.219349,52,543.992121
3.426575,44,544.539858
1.663551,30,545.068854
13.996816,240,545.666942
13.996816,240,546.763564
4.526017,56,547.313213
1.696941,31,547.872016
