time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl
15,232,30720,5.820181330000001,132,93.1,1.0931851863861084,0.0003,0.052587890625,-6.014945934712887,-0.0033044153700757307,0.10462407022714615,140,0.43538515898399055,0.5685828924179077,0.2,0.005062492
16,243,32768,6.03317213,134,96.62,1.102389931678772,0.0003,0.03740234375,-6.048847958445549,-0.0018064692601910792,0.08017158508300781,150,0.29322153446264565,0.5571639537811279,0.2,0.005510518
17,273,34816,6.129368520000001,127,98.98,1.1059178113937378,0.0003,0.03857421875,-6.070338317751885,-0.0035395650455029683,0.13422614336013794,160,0.3600936003727838,0.42483532428741455,0.2,0.0044839196
18,286,36864,6.052220479999999,128,97.55,1.1144447326660156,0.0003,0.03408203125,-6.092458738386631,-0.0035883934397134,0.1725953370332718,170,0.6790744652505964,0.3092898726463318,0.2,0.0040229494
19,299,38912,6.05941999,129,97.4,1.1246062517166138,0.0003,0.02626953125,-6.128244735300541,-0.0016362372800358572,0.2042972892522812,180,0.5744493600446731,0.25947046279907227,0.2,0.004944061
20,315,40960,5.45395537,129,86.92,1.130239486694336,0.0003,0.0677734375,-6.154144230484962,-0.006117890911264112,0.06422779709100723,190,0.45525407763198017,0.4286802411079407,0.2,0.009460716
21,347,43008,5.44846564,123,86.65,1.1199277639389038,0.0003,0.04375,-6.144088894128799,-0.005624185435590334,0.28578296303749084,200,0.6721687848679722,0.2425687313079834,0.2,0.0045638983
22,361,45056,5.86071663,124,93.62,1.1302313804626465,0.0003,0.031396484375,-6.1456748127937315,-0.003283352064318024,0.06799609214067459,210,0.35843656440265476,0.46904122829437256,0.2,0.006754142
23,371,47104,6.255279519999999,126,98.83,1.1361255645751953,0.0003,0.043798828125,-6.175427770614624,-0.0031378104016766884,0.09711785614490509,220,0.4451264474308118,0.22695773839950562,0.2,0.006226875
24,385,49152,6.31342218,127,100.02,1.1442265510559082,0.0003,0.070458984375,-6.198472429811955,-0.006114104559310362,0.04610724747180939,230,0.21752250427380204,0.5447577834129333,0.2,0.0060921796
25,402,51200,6.167714640000001,127,98.33,1.1526368856430054,0.0003,0.048388671875,-6.230896167457104,-0.0036684420010715257,0.1322425901889801,240,0.4773955756332725,0.4745026230812073,0.2,0.006969046
26,424,53248,5.547309980000001,125,86.23,1.168006420135498,0.0003,0.043408203125,-6.268153187632561,-0.004788841548725031,0.30477234721183777,250,0.7176354038529098,0.256384015083313,0.2,0.0064866524
27,444,55296,4.538430700000001,124,70.49,1.1632287502288818,0.0003,0.047998046875,-6.283562771975994,-0.0049281992192845795,0.1006760522723198,260,0.5095446782186628,0.5540724992752075,0.2,0.006651288
28,460,57344,4.272354000000002,124,67.11,1.1694331169128418,0.0003,0.038525390625,-6.288982008397579,-0.004173784630256705,0.3580571413040161,270,0.7018051696009934,0.3889029026031494,0.2,0.005779053
29,472,59392,4.66419591,125,73.91,1.1778136491775513,0.0003,0.0291015625,-6.314946056902409,-0.0026483223220566286,0.20288126170635223,280,0.7061281286180019,0.2780662775039673,0.2,0.004132852
30,499,61440,4.51358731,122,72.13,1.1911077499389648,0.0003,0.032763671875,-6.348355403542518,-0.0027482825535116717,0.16860884428024292,290,0.38794910265132787,0.5205280184745789,0.2,0.0051892507
31,519,63488,4.496973960000001,122,71.22,1.2010138034820557,0.0003,0.051220703125,-6.390098305046559,-0.004965044997516088,0.16317272186279297,300,0.5576815666630864,0.45802754163742065,0.2,0.0073348307
