time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/std,train/explained_variance,train/loss
77824,508,38,136.74,153,7.321304209999999,0.138134765625,0.0003,0.2,0.29852783571695907,-0.02280283349682577,370,0.012287438,-6.234071002900601,1.1562501192092896,0.06453591585159302,0.07637058198451996
79872,517,39,136.83,154,7.315319250000001,0.11376953125,0.0003,0.2,0.4708304811269045,-0.020236816712713334,380,0.011548063,-6.270266446471214,1.1654994487762451,0.19474440813064575,0.2564447224140167
81920,529,40,133.34,154,6.98217195,0.140869140625,0.0003,0.2,0.3281187674845569,-0.02054524376289919,390,0.013670198,-6.2979890123009685,1.176213026046753,0.1671156883239746,-0.04791060835123062
83968,537,41,136.12,156,7.21880391,0.119140625,0.0003,0.2,0.6161142926197499,-0.01822169523438788,400,0.011288926,-6.327999001741409,1.181790828704834,0.24182522296905518,0.159569650888443
86016,548,42,131.98,156,7.00547016,0.158984375,0.0003,0.2,0.4510077060433105,-0.024486596743372502,410,0.016746046,-6.317634965479374,1.1711184978485107,0.10216766595840454,0.059857696294784546
88064,557,43,128.21,157,6.800572720000002,0.12421875,0.0003,0.2,0.4422260708641261,-0.020140712313877884,420,0.011546129,-6.2892264187335964,1.164885401725769,0.26917415857315063,0.08802399784326553
90112,566,44,132.73,159,7.0692677600000025,0.128466796875,0.0003,0.2,0.5151359457522631,-0.021421285954420454,430,0.011962793,-6.286601439118385,1.169951319694519,0.2628467082977295,0.060993172228336334
92160,574,45,134.07,160,7.133301430000001,0.124072265625,0.0003,0.2,0.31027676444500685,-0.020565445526881377,440,0.011930047,-6.308809642493725,1.1746573448181152,0.3894687294960022,0.07770055532455444
94208,582,46,140.08,161,7.476308380000001,0.126171875,0.0003,0.2,0.27690274189226327,-0.019187839158257704,450,0.011691649,-6.321337427198887,1.1778455972671509,0.4991949796676636,0.01414356380701065
96256,589,47,147.56,163,7.91630409,0.14033203125,0.0003,0.2,0.40596916967770086,-0.021355949771532323,460,0.016227992,-6.328611217439175,1.1814849376678467,0.24077105522155762,0.08637801557779312
98304,596,48,154.56,164,8.296997229999999,0.1490234375,0.0003,0.2,0.18695211535668932,-0.021271906414767727,470,0.014281573,-6.318860095739365,1.1719813346862793,0.3840710520744324,0.04413342475891113
100352,603,49,161.37,166,8.57669511,0.14462890625,0.0003,0.2,0.2408576896530576,-0.021651779732201247,480,0.015536249,-6.326527005434036,1.1845402717590332,0.37514984607696533,-0.07420443743467331
