#{"t_start": 1775033592.2373734, "env_id": "None"}
r,l,t
12.807479,240,242.957294
0.231217,37,243.529451
5.467428,100,244.574382
12.795692,240,245.177866
0.582744,6,245.704252
12.720546,240,246.313223
12.996393,240,246.946762
12.891941,240,247.547633
1.684585,34,248.115
12.758642,240,248.713783
1.63242,26,249.24695
4.796458,84,250.954749
12.805901,240,251.580731
12.767679,240,252.182681
7.642401,18,252.747322
1.460476,10,253.278259
11.013186,127,253.84988
12.807573,240,254.955011
6.464399,120,255.513865
10.04553,180,256.098155
1.203316,31,256.670036
0.42768,8,257.197169
12.801984,240,257.817598
0.861687,54,258.36238
2.365275,40,258.891316
2.047527,33,259.45668
1.626604,27,259.988226
13.104659,240,260.58721
2.238778,37,261.158955
1.460493,19,261.686911
13.098199,240,262.323498
8.258419,150,262.933807
0.264558,39,263.477826
2.570517,53,264.049248
12.807577,240,264.66684
1.435138,87,265.260646
0.47054,18,265.789911
4.271087,19,266.823096
2.647676,45,267.399784
12.806012,240,267.994585
9.267697,173,268.608451
12.800713,240,269.213906
0.622795,10,269.774067
4.610643,81,270.33155
12.676736,240,270.929766
0.170933,10,271.458962
0.400439,15,272.027699
2.041062,33,272.567189
1.773446,29,273.132696
6.648606,122,273.695657
3.000923,51,274.241464
0.119325,5,274.809786
12.696478,240,275.461804
12.804562,240,276.070476
1.323688,41,276.639442
12.718029,240,277.721152
5.485228,26,278.252174
5.206632,95,278.842726
9.753751,180,280.425313
2.050519,41,280.992939
1.680156,32,281.523924
1.552555,77,282.105192
12.793687,240,282.706639
0.388618,13,283.268962
1.486724,22,283.805606
4.675132,81,284.390884
11.17731,207,285.01374
7.839948,24,285.540849
1.162099,38,286.112171
6.627507,123,286.672554
0.146339,7,287.203346
0.194923,8,287.77242
0.164997,22,288.309336
0.352526,6,288.870793
4.310935,78,289.427779
2.133517,35,289.966316
1.294526,102,290.51825
1.603947,27,291.079783
1.767601,42,291.617621
0.568913,51,292.187747
0.271249,13,292.726286
2.797212,49,293.272502
0.76094,42,293.855152
2.834501,32,294.383559
0.464517,11,294.94387
0.496416,51,295.491107
5.42651,99,296.089996
10.024193,240,297.173693
0.261749,11,297.696689
0.411635,9,298.16258
0.633112,9,298.696171
6.81861,126,299.300181
2.241255,37,299.841469
12.80406,240,300.468355
0.187524,5,301.03018
2.004839,25,301.55374
8.468465,154,302.160825
1.342783,9,302.682557
2.398844,39,303.259779
1.892477,32,303.791003
0.452037,11,304.320599
2.401767,22,304.859114
1.998058,32,305.426135
2.115538,35,305.960563
0.627378,8,306.535526
0.30053,22,307.073738
0.237485,32,307.644321
12.442318,233,308.238898
2.098953,43,308.782052
0.14398,7,309.338429
12.993816,240,309.976889
0.561083,6,310.504615
8.046812,152,311.117914
12.799436,240,311.714486
0.214413,6,312.205964
12.796159,240,313.306771
0.378213,35,313.851227
0.425095,19,314.411988
2.029076,52,314.9565
12.804578,240,315.611114
1.148238,39,316.153692
3.782504,63,316.694734
0.145137,19,317.264693
5.961506,109,317.826205
0.237495,23,318.36754
1.736781,29,318.902086
12.801177,240,319.53585
2.192125,43,320.074231
12.794739,240,321.666256
5.256034,23,322.202848
1.659937,27,322.737307
12.795043,240,323.371043
1.517771,26,323.937587
0.796678,7,324.465419
11.66499,216,324.981139
12.797833,240,325.58885
0.561977,53,326.164627
5.093375,20,327.199958
1.014713,8,327.751917
0.100993,15,328.288167
2.782955,47,328.850992
6.651897,30,329.393681
12.806422,240,330.030415
1.920084,22,330.558887
1.539273,33,331.129063
12.794237,240,331.727485
11.765596,240,332.3624
1.655298,26,332.878399
11.273203,207,333.502779
12.842949,240,334.098165
0.72474,5,334.65764
12.911606,240,335.264538
3.402644,59,335.84234
12.8153,240,336.49279
0.204642,8,337.026155
2.93961,46,337.571984
12.805624,240,338.605087
12.83732,240,339.23957
12.649064,240,339.835237
4.669908,46,340.407037
1.631355,27,340.934831
13.388825,240,341.517873
1.997604,73,342.067007
1.77792,8,342.630435
0.249967,45,343.175683
1.700315,31,343.721473
1.529749,8,344.248447
0.130586,7,344.815852
1.143447,22,345.355968
12.694587,240,345.988616
6.893694,126,346.553085
12.795785,240,347.186584
12.843614,240,347.757606
2.353235,57,349.288522
1.113897,30,350.314811
20.137943,110,350.869213
4.33402,79,351.459787
7.443284,21,351.992113
1.475262,17,352.524489
4.50731,27,353.094795
12.797271,240,353.692501
8.891662,164,354.254177
12.789689,240,354.861126
12.746256,240,355.495515
11.423076,213,356.086974
9.65163,176,356.693992
12.813869,240,357.296815
12.849076,240,357.929421
11.594408,223,359.047663
7.607244,142,359.619406
1.452558,31,360.184704
1.43964,16,360.715741
9.941482,162,361.328183
11.153034,208,361.923134
1.014573,11,362.446443
7.790422,33,362.987014
0.7915,5,363.545302
1.716352,29,364.086721
10.769327,192,364.7071
2.093072,35,365.239896
6.700673,124,365.836862
1.954031,36,366.407718
0.258217,7,366.932464
1.282375,30,367.506463
2.581775,92,368.059801
0.673895,15,368.61957
12.794638,240,369.224412
4.988166,92,369.811594
12.617742,240,370.407635
12.81458,240,371.466742
13.286503,240,372.077454
9.927062,181,372.691557
12.793509,240,373.294259
6.278666,115,374.987028
8.993458,166,375.573224
1.67418,26,376.147161
0.418142,27,376.714077
12.799652,240,377.313896
1.121488,23,377.747543
12.805144,240,378.348161
12.799672,240,378.981446
4.626999,84,379.534133
12.792459,240,380.674543
2.210434,26,381.2509
2.37984,39,381.787396
5.751925,103,382.374591
12.686785,240,382.968242
1.653745,27,383.501407
12.80113,240,384.135619
2.265365,38,384.391096
1.978949,29,384.919661
12.859762,240,385.555617
2.254515,36,386.091948
2.363513,20,386.65249
12.819649,240,387.254917
2.340436,25,387.821497
12.717447,240,388.423162
7.092962,128,389.022051
6.785036,125,389.587572
0.991616,27,390.107242
12.78096,240,391.239849
0.211414,8,391.821279
12.770149,240,392.426515
12.796322,240,392.96876
1.291394,27,393.492946
0.223253,27,394.061233
0.108026,17,394.591833
12.797411,240,395.211841
9.75031,183,395.794137
12.805601,240,396.428372
1.257276,146,396.998145
12.789548,240,398.704807
7.15124,31,399.232383
2.34684,45,399.803593
12.77706,240,400.903849
12.791462,240,401.515691
13.285593,240,402.149544
0.478696,7,402.678147
3.603654,65,403.263841
1.826751,25,403.800225
12.77458,240,404.433711
12.78908,240,405.03544
1.599598,27,405.586051
11.340763,213,406.19568
9.841371,180,406.78711
13.039075,240,407.42087
0.335953,6,407.947479
1.295741,45,408.526444
4.420269,17,409.053841
9.187842,163,409.631177
11.942398,240,410.776239
12.784291,240,411.405711
12.697051,240,412.006136
12.797987,240,412.638699
12.792218,240,413.240196
3.095902,27,413.808612
12.78954,240,414.407119
1.978902,36,414.978903
5.011169,94,415.531138
0.606692,9,416.087946
0.431514,6,416.620883
19.604919,55,417.202964
1.039518,92,417.765162
0.37735,46,418.301154
9.793932,184,418.860721
12.763931,240,419.97277
0.129377,48,420.553351
0.465886,24,421.079695
12.788108,240,421.712566
4.776788,87,422.267655
1.072949,19,422.829544
12.779641,240,424.602519
2.042926,39,425.138095
12.391087,230,425.764119
12.789432,240,426.365641
1.991168,38,426.941233
0.169593,12,427.464588
14.385659,240,428.102838
12.788016,68,428.650784
2.133186,35,429.223647
0.438261,30,429.772715
1.86945,35,430.306902
0.250049,22,430.873555
